# BEAST v1.8.3
# Generated Thu Mar 09 09:46:24 PST 2017 [seed=1489081582878]
# -beagle_scaling dynamic -threads 1 -beagle_SSE -beagle_instances 1 -beagle_GPU -beagle_cuda infile.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Calathea)	tmrca(Goeppertia)	tmrca(Straminea1e2)	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
200000	-14940.4049392354	-492.66627833244746	-14447.738660902953	44.38897855472972	43.32529465465457	38.94630513513048	31.878974347571777	0.1301049474854622	4.174738737687147	0.17653070662267883	0.2521614991672349	0.22633169178129678	0.3449761024287902	0.7742842431810705	0.002658461748762941	0.4750335377893945	0.0025341577561727273	0.5169314651142957	-0.02475382601056514	-12682.867927747093	-1764.8707331558608	-485.01384766764795
220000	-14958.400250163448	-489.7984029355225	-14468.601847227925	49.12988049548015	48.16834318649723	39.89683979278707	37.774834605628634	0.13138331108654103	3.872427092784122	0.17145022123584258	0.2591141232751266	0.22920911057248353	0.340226544916548	0.7826312681285603	0.003077012861492316	0.5063650800452957	0.0029467872492479263	0.5012777738384983	0.02177022413076463	-12703.731114072065	-1764.8707331558608	-480.5345757912568
240000	-14911.2348738567	-472.1637551003782	-14439.071118756321	44.58411625506348	44.336156362649874	36.10614578972459	35.324770443176746	0.13615782903231377	4.195084773936245	0.1722895386946878	0.27281424512110264	0.23859969576742557	0.3162965204167847	0.8149879789474722	0.003379676243245152	0.5338699044290754	0.003168257629690751	0.5147434086811373	-0.06495979897700423	-12674.200385600461	-1764.8707331558608	-464.150243466
260000	-14872.417185074395	-485.992613139872	-14386.424571934524	43.526087605035464	43.0181690878539	37.655617875789844	36.553385417889004	0.11630997884805329	4.228354497494537	0.1784943243273394	0.2569295525470799	0.23137054665055518	0.3332055764750263	0.8181329115209057	0.0028907382031741237	0.595606706282247	0.002835128014967919	0.5701549324467783	0.04729253564504413	-12621.553838778664	-1764.8707331558608	-478.28953539777285
280000	-14875.228569324789	-469.9568485746507	-14405.271720750137	41.62184779845488	40.08917731021672	35.16118806579725	28.780195681734774	0.14065272380715887	3.5607428729752972	0.1784943243273394	0.27327989499258426	0.2150202042050508	0.3332055764750263	0.8898489160707493	0.00327875383485943	0.45963484094051577	0.0032840083448677157	0.44323718298411996	0.05066404353371286	-12640.400987594276	-1764.8707331558608	-460.6081614047763
300000	-14900.738764708422	-489.5567669886844	-14411.181997719737	45.83684942503161	44.02579086920387	37.206421788746546	34.61527092110355	0.12776900557436977	3.656316338590707	0.17343742237947465	0.2615753483698131	0.21728799721156125	0.3476992320391517	0.8726135077509494	0.002781914413999635	0.4786727934788796	0.002772435603977298	0.5128575378590419	-0.04548029135939057	-12646.311264563878	-1764.8707331558608	-482.06759589686135
320000	-14849.524923526486	-482.20480736900606	-14367.32011615748	42.497926162400184	40.56729388858485	33.26402052966996	32.470777813893505	0.1271064193871838	4.0377907076766135	0.17333498314356197	0.26579737392916397	0.21661856193980367	0.34424908098747103	0.7531227043604087	0.0029239138234259444	0.5707960011440634	0.003089907800653573	0.6214833024211194	0.13306598006053014	-12602.44938300162	-1764.8707331558608	-473.7133178109582
340000	-14918.399407163202	-496.6462451677708	-14421.753161995432	46.78016771289615	46.43331303104235	38.955943055265095	38.88113559689596	0.10687720287037429	4.151516751544072	0.17333498314356197	0.27393467790342346	0.21661856193980367	0.33611177701321154	0.8770062738971096	0.0023225054307982078	0.5536323917106475	0.0025860114107934965	0.5917900073379164	-0.0020653566827369863	-12656.882428839572	-1764.8707331558608	-488.1491897902605
360000	-14873.890591203215	-491.4277363352713	-14382.462854867943	43.972403835430626	43.757425712531166	36.2605757332518	33.865905929551666	0.1345860607251768	3.729772422202847	0.17520272946310128	0.24822419766533815	0.21226154123551635	0.3643115316360449	0.8786887269710819	0.002459101872039395	0.5575805342906578	0.002804711604057221	0.6357658010577297	-0.01109919201529442	-12617.592121712083	-1764.8707331558608	-483.747445324359
380000	-14889.433729256907	-499.50434853670157	-14389.929380720205	49.91279296586103	45.770431875549406	35.14941921744674	35.05994366341232	0.11960066107549469	3.9713014945235	0.17366792719243704	0.22417496083263555	0.23631077806821896	0.3658463339067092	0.8341110221902158	0.0023122966623313557	0.584848755916077	0.002480230439519282	0.6849040393409681	0.042488391009802735	-12625.058647564345	-1764.8707331558608	-491.0112626092051
400000	-14892.154831062808	-491.4394438779947	-14400.715387184813	47.81137493799967	47.52420333180148	36.42378276993068	34.5855991307812	0.11718844189653249	3.79013977212395	0.17366792719243704	0.24388830649288862	0.2366282138991762	0.34581555241549883	0.8269830972606125	0.002385824678087905	0.5340452988236467	0.002686770086725252	0.5625596173821528	-0.0061558445287957075	-12635.844654028953	-1764.8707331558608	-483.0804561590066
420000	-14867.837301196529	-487.35084051684214	-14380.486460679687	47.081413985211405	45.29689353590101	35.170818406416664	33.796200132920106	0.11158558559530561	4.15755162521803	0.17895005045459658	0.2538704883718382	0.22813592762992474	0.33904353354364125	0.861677420087075	0.002925828093084805	0.4972745034725872	0.002992724642890919	0.5263796446713622	-0.030676352087715172	-12615.615727523826	-1764.8707331558608	-479.19915054235156
440000	-14907.430936758192	-490.172561861654	-14417.258374896537	46.67634441869527	46.14388628282893	36.14050247369572	33.65339754494677	0.12441077127741264	3.953994418026455	0.1780026963693323	0.2645628012185271	0.22831054382599542	0.32912395858614596	0.8321935106420782	0.002858567562457974	0.46252311498498394	0.002790102357278154	0.4966260241624049	-0.013608021861627123	-12652.387641740675	-1764.8707331558608	-482.10191782728566
460000	-14861.49236025429	-480.36308240988586	-14381.129277844404	46.95166312413959	42.14527688690937	38.25658230852223	34.873184869457894	0.1278541643119506	3.914807323982717	0.17418559739372233	0.25635807036125374	0.22831054382599542	0.3411457884190292	0.868906071576177	0.002987051651317889	0.4995325318113417	0.0029474921399796307	0.5291391079933638	-0.08489378039038313	-12616.258544688544	-1764.8707331558608	-472.7820069248609
