# BEAST v1.8.3
# Generated Thu Mar 02 10:58:31 PST 2017 [seed=1488481111247]
# -beagle_scaling dynamic -threads 1 -beagle_SSE -beagle_instances 1 -beagle_GPU -beagle_cuda infile.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Calathea)	tmrca(Mara1)	tmrca(Thaumococus)	tmrca(Maranta)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	CP1+2.ac	CP1+2.ag	CP1+2.at	CP1+2.cg	CP1+2.gt	CP3.ac	CP3.ag	CP3.at	CP3.cg	CP3.gt	CP1+2.frequencies1	CP1+2.frequencies2	CP1+2.frequencies3	CP1+2.frequencies4	CP3.frequencies1	CP3.frequencies2	CP3.frequencies3	CP3.frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	branchRates	speciation
0	-83660.34901165421	-32966.351515215414	-50693.99749643879	473.8884889099528	118.1640627664634	470.91414005288595	473.8884889099528	178.0728547617902	0.9	0.001	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	1.0	1.0	1.0	2.0	0.34729212198971826	4.1054843044784395	-0.040691744261999785	-32397.83696001671	-16585.02579402522	-1711.1347423968602	-3356.0327625954005
20000	-13906.327005440282	-444.3350732806921	-13461.99193215959	60.11963215663294	44.46531052885108	51.785521473705565	60.11963215663294	27.83495748385562	0.04386612265971998	0.8825869402474538	0.6395869643357034	1.6758787955291237	0.4274400834195297	0.49914069933310323	0.5405200012357276	0.5236622607622742	1.6280231833548262	0.44804169593296383	0.5626311786028397	0.35637166244533275	0.2751366910936837	0.22262651718014076	0.2218880622151219	0.2803487295110536	0.2500246117476658	0.2399309683138964	0.25291253686314796	0.2571318830752899	0.19493059881745786	0.2700155104216613	1.042171612060565	0.9156567758788693	0.010732373551683584	1.675520116918555	0.0026470898801256833	3.160406699316523	-0.010910477189896201	-7619.59363731379	-4131.263552448941	-1711.1347423968602	-397.6775471379994
40000	-12333.451288626184	-489.6920193632596	-11843.759269262924	60.94251408916356	48.58028859629701	60.53573470154986	60.94251408916356	37.07276524163731	0.06082892427774233	0.6694330313233429	0.6089246375878296	1.1276654098666739	0.3318927740717029	0.21092850648908618	0.47933940843225104	0.4421466747579598	0.7971763503840309	0.2386383066976691	0.17941355414264995	0.16127276421503053	0.30421080234987286	0.2014096519448131	0.1936340830725764	0.3007454626327377	0.2817007659100125	0.20525052200560837	0.24595603740902763	0.2670926746753517	0.23856825366602735	0.24286038687302539	1.039626766419525	0.9207464671609501	0.0026169996909739665	1.3989928351729386	0.0012627690303790916	2.308471970062463	0.00921641742897678	-6569.149066565578	-3563.475460300485	-1711.1347423968602	-457.3347796679302
60000	-10633.25776026136	-558.1540413622514	-10075.103718899109	61.150520244394265	39.36663180709298	59.52084246166797	61.150520244394265	54.61880831649432	0.07920745499829164	0.10262972885456002	0.6284593844977998	1.2991049106788066	0.22307838503806976	0.14067122999525586	0.4389601700112064	0.34620849712678525	0.7477485688714203	0.21721657341786707	0.21534286351289708	0.23355185482710328	0.30920932213540664	0.1960225208715213	0.18331913430640406	0.3114490226866681	0.26901689641360155	0.1824942064714255	0.24143697408642423	0.3070519230285489	0.26264843500750107	0.4991911842754199	1.035714976723256	0.9285700465534877	4.439181398803262E-4	0.7461702511480952	4.0740947452801634E-4	0.7863854004367726	0.011475960085124944	-5452.798746522638	-2911.1702299796116	-1711.1347423968602	-529.0634935585715
80000	-10022.39139598499	-543.3828375939381	-9479.008558391053	60.96940884761096	47.0404462571056	58.02738339878839	60.96940884761096	47.52127667166887	0.05644711343896022	0.5231957804005185	0.606054905888117	1.1040111469741944	0.26006237911918173	0.10864960525442141	0.5974840679439064	0.43999058337328356	0.80759047580624	0.23277240649544906	0.2186173457308406	0.2894658449236923	0.30149239346575096	0.19798200613637232	0.15203980314333593	0.3484857972545409	0.2874493163593197	0.17436399507502642	0.1775826396105194	0.36060404895513465	0.3846461599645086	0.5924752663043262	0.9709781686603537	1.0580436626792924	3.6283437929466065E-4	0.4464194028739209	3.550591629791493E-4	0.42564136350666004	0.0812851353590271	-5002.3288384440975	-2765.5449775500956	-1711.1347423968602	-515.1067233257779
100000	-10007.41153041422	-551.3004283516834	-9456.111102062536	59.04867896899875	47.63431087692889	58.55849122983986	59.04867896899875	52.94501659105331	0.052705035497193714	0.47925811447773914	0.6650501017525811	1.6050171642113424	0.25987711497202787	0.10564046893356033	0.5620316447528741	0.5521088826779706	0.8351719026041515	0.14253011952748648	0.26270812523919934	0.27682461239100775	0.3174203732847952	0.19209281699629763	0.15635252044450282	0.33413428927440436	0.30088573790444234	0.17273507757704065	0.16392910239575006	0.36245008212276714	0.4080111224642458	0.6428992830436862	0.9190823692087426	1.1618352615825145	3.7158118018770504E-4	0.5851927441518691	3.7836961388617966E-4	0.5737358359848176	0.014429000049119727	-4983.112261055754	-2761.8640986099213	-1711.1347423968602	-521.4627430659104
120000	-9970.159952097527	-533.198145543461	-9436.961806554065	62.162546632300874	39.31346188887117	55.123559888907316	62.162546632300874	41.570101726910885	0.08330206647526467	0.2588390845691519	0.6182352306726925	1.399558890276472	0.2532330742024795	0.12695236518061195	0.7556329543085197	0.36311035488330623	1.0904585083927534	0.1474954980373243	0.36647651374774876	0.2959632410920889	0.31260291967484377	0.18967923979464724	0.13977921345264932	0.3579386270778597	0.28287928411257585	0.1363699031999604	0.1749705290106523	0.4057802836768117	0.41132080131193244	1.2801923386154328	0.9521148525602745	1.095770294879451	4.2378850198286134E-4	0.57359311680715	4.1304950184198184E-4	0.5519057558478867	0.00229664101857733	-4981.896004425603	-2743.931059731603	-1711.1347423968602	-502.1627375898292
140000	-9976.311698907608	-553.2263918905296	-9423.085307017078	60.418941620762844	45.62945127508194	51.8575599172468	60.418941620762844	47.692577119742154	0.07472592307309325	0.041634615581110264	0.5896566814654104	1.069583947635114	0.28534502726409	0.09078679379360254	0.5731934078111678	0.2862722444087615	0.9712199214579829	0.1285114841640842	0.19605281434853727	0.31020318584751355	0.2877855391688695	0.1876158794448041	0.1640897405840057	0.36050884080232076	0.281329531267948	0.14346490219120248	0.15466351593623426	0.42054205060461547	0.30610247363431137	1.3141584989547261	0.9457994907605567	1.1084010184788866	3.239986962066747E-4	0.42781738297035965	3.08390466848693E-4	0.44836841986519876	0.056850631898402636	-4971.202875305929	-2740.747689314289	-1711.1347423968602	-526.0188477031015
160000	-9992.202521594474	-562.0116775529144	-9430.19084404156	61.90713428432111	47.13324753852893	54.81883715481387	61.90713428432111	49.392035739528325	0.06088298913070465	0.27157405744171575	0.5530917457409918	0.9667028320014879	0.2357957930011003	0.11425157677416849	0.4150626044324475	0.5964170475681027	1.1787095820403035	0.11214431119216656	0.2119118933693756	0.3105955504923615	0.3123818846662821	0.18959801968619178	0.14785752140142933	0.35016257424609687	0.3153987008585718	0.12520309849243835	0.14204439395909868	0.4173538066898914	0.42156576600426665	0.9886864582318385	1.0209639238677657	0.9580721522644686	3.5104820490997095E-4	0.46953187705968946	3.4724638544042724E-4	0.5146160467923829	0.1090981899249088	-4971.045640980635	-2748.010460664065	-1711.1347423968602	-533.6669563120139
180000	-9978.903396782754	-542.9619591969829	-9435.941437585772	56.88222791137661	46.88073464315151	52.27915634577605	56.88222791137661	44.51055453906893	0.06926169262704683	0.26059710622488885	0.5682674180602355	1.258485137486006	0.21293389577269434	0.1316457299265267	0.5389955194710059	0.4242792441496687	0.7855416018653647	0.08619716936820315	0.26457812511078027	0.2829877422566837	0.3096991952803291	0.19093411923826145	0.15172900604407452	0.34763767943733503	0.314394155098852	0.11525216407091857	0.14249426829391965	0.42785941253631005	0.4233206276893718	0.588990797740253	1.007423341146099	0.9851533177078019	3.5129943195793097E-4	0.5499882299640315	3.655175021016585E-4	0.6086777083254329	-0.10347231149105669	-4978.513854191778	-2746.2928409971346	-1711.1347423968602	-514.9913882557406
200000	-9973.46388318283	-540.3125316966662	-9433.151351486164	62.47157077324272	44.78180773377425	57.01832415606582	62.47157077324272	46.080493805726206	0.06843830615540807	0.44620416494870996	0.550067779454257	1.112188865057077	0.2198499125196739	0.25225362003593726	0.6631901036628269	0.7280850678622884	1.0191328612635884	0.14373571556569356	0.2792614247828228	0.24284089952550686	0.3189282144213526	0.1772227884145681	0.1442143619427439	0.35963463522133543	0.31151168659552714	0.12074556406201671	0.1413252831162287	0.4264174662262276	0.4346523246284862	0.6552269561131924	0.9466564472242375	1.1066871055515255	3.8096921395382394E-4	0.420937821689392	3.695476552192378E-4	0.4093989779839989	0.050172370195998114	-4981.929303732518	-2740.0873053567857	-1711.1347423968602	-510.48403040843607
220000	-9960.22256024333	-532.1855098607101	-9428.03705038262	58.191820120234254	47.859422054165776	53.47072478165888	58.191820120234254	43.30261353329578	0.06071419815610598	0.5293821865664137	0.798985196451663	1.3606914503705114	0.2407426265836137	0.13654266351862562	0.4466830647458001	0.5500417229810116	0.8905207576076924	0.12356581362330012	0.13089748390838862	0.24703545734068497	0.32169261922191605	0.17468277251000128	0.1471591547964433	0.35646545347163944	0.291592603460254	0.12838329304558752	0.12267119562000056	0.45735290787415805	0.3253146791513603	0.9311507625180403	0.9724872211737119	1.0550255576525767	3.7919191565269334E-4	0.38693927156359953	3.632715959622269E-4	0.4148285739308494	-0.0070117997112796905	-4975.918457823005	-2740.983850162754	-1711.1347423968602	-504.1434033884502
240000	-9937.22114355747	-508.0926405033061	-9429.128503054164	60.75119476613561	34.55843344581625	47.55594601102927	60.75119476613561	39.881310232185456	0.0822501850698053	0.42757887680267104	0.7155577185158495	1.0356795422444263	0.23314724970269002	0.11446418331465855	0.5319090485567609	0.5371294371553429	1.1855950490995926	0.14329468606415915	0.3348132500301282	0.3663426191656106	0.32169261922191605	0.15612291927307217	0.1506063152285429	0.3715781462764689	0.3327720271271082	0.1258835324890329	0.10141154338813575	0.4399328969957233	0.3750478235556749	1.099439104516901	0.9545841503742714	1.0908316992514577	4.491593163303348E-4	0.443747874468929	4.4235060112275513E-4	0.49370454716924755	0.002543385030787557	-4976.1419175091205	-2741.851843148184	-1711.1347423968602	-475.7458415769184
260000	-9928.422541906812	-516.7311391985648	-9411.691402708248	61.27379508424007	42.131908492151695	57.22903872426165	61.27379508424007	46.32030034791022	0.062480581044253684	0.5599785949198527	0.6457242360925493	1.3356358223105975	0.21473460035649555	0.050982968704656295	0.5452281278419311	0.3907454011286275	0.9448659330471755	0.13031033292392513	0.2509907108799783	0.2992979164170233	0.2891147796034581	0.1972624342343575	0.14204463988571547	0.3715781462764689	0.3327720271271082	0.14191795471895421	0.12133106766118298	0.4039789504927548	0.3117103113664479	1.266617297363478	1.0027551224832214	0.9944897550335575	3.8878795232971165E-4	0.6187783919527137	3.910892327627765E-4	0.6654900014173778	0.045046768520383494	-4982.2975493525255	-2718.259110958862	-1711.1347423968602	-487.9216256251459
280000	-9976.658232395528	-544.4447635874593	-9432.21346880807	63.589046971210706	45.13528068104736	60.35465388903242	63.589046971210706	49.11846285192079	0.059080455335341966	0.4165113671273069	1.065719367064182	1.3675830691600646	0.2554764864803411	0.12797473137276671	0.416016795555087	0.4211590505214984	1.2376229010121684	0.11243240458105548	0.3429783714643234	0.28223905611447747	0.2674285142715889	0.1657992261446987	0.17323485887388893	0.3935374007098234	0.3172098414833083	0.1133710543433345	0.12133106766118298	0.44808803651217444	0.35563027997716723	1.1867629230664323	1.0261268079998442	0.9477463840003121	3.586561895926818E-4	0.4354455208549821	3.604065416661384E-4	0.4935690023235536	0.03660597741265783	-4976.022552252008	-2745.056174159201	-1711.1347423968602	-512.3047908498561
300000	-9957.935214095687	-533.4489277440124	-9424.486286351676	58.97140028185531	43.628909743548576	56.9548055994224	58.97140028185531	45.005308528936546	0.04952599664372141	0.5887287685119236	0.8977225696487778	1.0918692740759914	0.2626683696953685	0.1370992908646229	0.47335909283665634	0.5712224887075138	1.1052080484122855	0.1827911151808716	0.4725289399908702	0.341597613978571	0.2624519340837346	0.1901968738933892	0.16169137323164978	0.38565981879122635	0.31008131678661266	0.13505910390682885	0.11824188280697565	0.43661769649958304	0.39325668559553467	0.9150188777232697	0.9943524705524532	1.0112950588950944	4.4861458196300655E-4	0.6338203328262594	4.000366386977537E-4	0.7501862518938394	-0.03499694512998561	-4984.133753490344	-2729.217790464471	-1711.1347423968602	-502.6612868802121
320000	-9978.25102343613	-556.0810058523058	-9422.170017583825	58.266811544241634	46.13054365581051	58.17215518532337	58.266811544241634	48.13763987794256	0.060229279423709	0.38946719006162134	0.6976415585457422	1.4097286822083142	0.2827939417831937	0.18529046393433635	0.5509540094256884	0.6824186618351304	1.0158875401291703	0.1251741474220548	0.2875116919055045	0.3535320228936065	0.2699161236185325	0.1897050917437422	0.14123269957893972	0.3991460850587855	0.2925074195127081	0.14658448942776134	0.14164065265218634	0.4192674384073444	0.37524656024398223	1.2337991001460553	0.884648119715533	1.2307037605689348	3.5823670444667005E-4	0.562639558331644	3.6073054454343977E-4	0.6595490190935498	-0.010050110200245314	-4969.27266346833	-2741.762611718634	-1711.1347423968602	-524.607197422434
340000	-9973.731996991992	-555.5056219259243	-9418.226375066068	55.9009024261616	42.20376989893812	52.89861761339131	55.9009024261616	40.67001588944461	0.07419933274369224	0.16559350873105363	0.7953018951430166	1.4060264124257273	0.22107286981353494	0.11504188264241358	0.5569072115200641	0.35404548354745236	1.2330769662714538	0.15543876385735733	0.3864152409541186	0.30355725996196165	0.3229962046138195	0.15621711919885897	0.14123269957893972	0.37955397660838175	0.3004248877101642	0.11459382848196535	0.1271353331375496	0.4578459506703211	0.44717902664043113	1.0604654564531513	0.9677423527635449	1.0645152944729115	3.389933996800429E-4	0.6311665301541503	3.3044081542732656E-4	0.6676742251824416	-0.033315251216244256	-4965.025117783905	-2742.0665148853027	-1711.1347423968602	-523.8282458217154
360000	-9986.972276146953	-553.9397398881181	-9433.032536258836	60.957058819374005	48.53797150357614	56.96689781896579	60.957058819374005	49.29458410313904	0.04433171320161547	0.5165863433186219	0.522855270366126	1.2967770028226369	0.2182783096508039	0.18389132250188397	0.5663278277798722	0.631446744306601	1.2781247284590032	0.14753776797535298	0.495561442534013	0.36385883825955906	0.3229962046138195	0.15508156299868564	0.15236245971637802	0.3695597726711168	0.3275932513324777	0.08742546485965183	0.11772995988338697	0.4672513239244837	0.33584050279398464	0.9436721546963842	1.023558343079755	0.952883313840491	3.5756673407192426E-4	0.4976776643340125	3.338807860991796E-4	0.5205182206609286	-0.011665912468077418	-4976.282184064007	-2745.615609797969	-1711.1347423968602	-523.1400776538385
380000	-9970.714746738624	-552.2284722958595	-9418.486274442765	61.51132133857543	43.40479187695376	56.20561123194972	61.51132133857543	47.129799347021816	0.06735670751999559	0.3518014319464364	0.7936767703209502	1.2126494073301282	0.31067123646127276	0.16822413107351272	0.5577035599689992	0.5114337613020674	1.2445569829603418	0.13680657020114276	0.2960114727250125	0.3100570603796185	0.2922303965428438	0.18110218851292437	0.16709094875883282	0.359576466185399	0.33827597885182215	0.10293878047999676	0.10922555331610687	0.4495596873520744	0.36812039044953715	1.4510383027924607	0.9878401135618109	1.0243197728763789	3.3584691215313904E-4	0.5300950218099931	3.384794646027438E-4	0.6243799333287182	-0.027556320243300885	-4976.904126743839	-2730.447405302066	-1711.1347423968602	-521.1974572438743
400000	-9992.083983608432	-561.2841201747711	-9430.799863433662	56.46987897448322	44.447064838556685	55.966459641257565	56.46987897448322	44.091551974117536	0.043948434068100346	0.3961522152063798	0.6736272178482064	1.4485918746825108	0.29890511990510815	0.07325609889545837	0.5210648717818901	0.47267060784158826	1.0261050451960139	0.12179190574977608	0.4195116130001152	0.3063721871376297	0.2976018062211895	0.19021100329592916	0.16219075390964247	0.3499964365732388	0.32135495794630775	0.11069043436656177	0.13151391258037515	0.4364406951067555	0.35341562152735906	1.3204699746843458	1.0178087782766672	0.964382443446666	3.296611243209747E-4	0.43697456971951215	3.4781279686844804E-4	0.4665216589817781	0.10327015616772317	-4977.4474317815375	-2742.2176892552634	-1711.1347423968602	-530.467703491308
420000	-9978.458176473832	-551.2739423307471	-9427.184234143086	58.351230701607705	46.74753520892026	53.78439128927557	58.351230701607705	50.09208911358868	0.06724338293419219	0.26617422242601296	0.7019925780473113	1.5760025025351083	0.28334856470039926	0.10545971287936425	0.648520696953723	0.5858543452573283	1.2182107166944882	0.1437286357208169	0.22445363117869263	0.29165002604288953	0.2604298302123269	0.19136257127475814	0.14205888651667198	0.40614871199624286	0.3083059170519211	0.11931731630866639	0.11601156195003562	0.456365204689377	0.3966321383348138	0.7408427226018156	0.9873863948515578	1.025227210296885	3.4150583138444705E-4	0.45847117169096996	3.6014747477056347E-4	0.4550524320035979	0.06744376370856801	-4966.58387667674	-2749.4656150694846	-1711.1347423968602	-522.0466408544781
